@relation staticFaceGestures

@attribute BrowLower real 
@attribute BrowRaiser real 
@attribute JawLower real 
@attribute LipCornerDepressor real 
@attribute LipRaiser real 
@attribute LipStretcher real 
@attribute gesture {Neutral, Yawn, Sad, Happy, ReiseEyeBrows} 

@data 
-691, -805, 2006, 3583, -4201, 1199, Neutral
-691, -805, 2006, 3583, -4201, 1199, Neutral
-344, -1118, 2187, 3734, -4252, 874, Neutral
-555, -1556, 2204, 4135, -4436, 1384, Neutral
-551, -1566, 2122, 4123, -4521, 1206, Neutral
-75, -1430, 2208, 3984, -4672, 1349, Neutral
9, -1464, 2217, 3803, -4668, 1438, Neutral
-129, -1731, 2244, 3541, -4692, 528, Neutral
-249, -1529, 2127, 3419, -4487, 877, Neutral
-303, -1891, 2395, 3820, -4655, 886, Neutral
-142, -1915, 2288, 4517, -4664, 1274, Neutral
-417, -1967, 2225, 4337, -4430, 1321, Neutral
-195, -2339, 2099, 4662, -4618, 1362, Neutral
-428, -2311, 2194, 4456, -4758, 1701, Neutral
-463, -2286, 2451, 4134, -4844, 2279, Neutral
-225, -1810, 2424, 4295, -4793, 1559, Neutral
-252, -2075, 2600, 4487, -5015, 2573, Neutral
-173, -2251, 2486, 4097, -5275, 2529, Neutral
-1923, 816, 5209, 6323, -9, 1005, Yawn
-2033, 76, 5183, 5686, 45, 1332, Yawn
-2449, -190, 5017, 5211, 772, 981, Yawn
-2507, -532, 5025, 5705, 824, 657, Yawn
-2638, -354, 4885, 5391, 1086, 725, Yawn
-2829, -781, 4883, 5341, 1146, 457, Yawn
-2829, -781, 4883, 5341, 1146, 457, Yawn
-2584, -537, 4892, 4819, 1448, 1109, Yawn
-2395, -8, 4889, 5550, 1289, 888, Yawn
-2695, -159, 4838, 5195, 1223, 1154, Yawn
-2695, -159, 4838, 5195, 1223, 1154, Yawn
-2543, -495, 4914, 5692, 871, 1450, Yawn
-2370, 129, 4712, 5183, 1118, 1072, Yawn
-2463, -261, 4928, 5851, 1077, 530, Yawn
-2506, -585, 4764, 5669, 1014, 927, Yawn
-2492, -363, 4832, 5301, 1100, 528, Yawn
-2717, -48, 4650, 4636, 1494, 267, Yawn
-2886, 116, 4541, 4421, 1926, 898, Yawn
-2886, 116, 4541, 4421, 1926, 898, Yawn
-2886, 116, 4541, 4421, 1926, 898, Yawn
-3035, 278, 4502, 4386, 2031, 1679, Yawn
-2760, 159, 4774, 4991, 1830, 2005, Yawn
-3062, 522, 4259, 3650, 2030, 2504, Yawn
-3427, 34, 4160, 4101, 2004, 1945, Yawn
-3262, -269, 4250, 4723, 1951, 1266, Yawn
-2416, 636, 4598, 5048, 1506, 1350, Yawn
-2594, 804, 4781, 5494, 1250, 1502, Yawn
-2026, 873, 4519, 5357, 497, 1843, Yawn
-2342, 753, 3037, 3342, 654, 1748, Yawn
-2740, 56, 1889, 2667, 805, 537, Yawn
-2682, 780, 1033, 1020, 778, -654, Yawn
-2441, 262, 555, 546, 243, -453, Yawn
-2591, -791, 445, 229, 590, 800, Yawn
-2273, -160, 5665, 6445, -372, 1473, Yawn
-2516, 37, 5630, 6584, -188, 1477, Yawn
-2605, -32, 5492, 6105, -34, 1178, Yawn
-2578, -344, 5420, 6517, -122, 1172, Yawn
-2729, 27, 5526, 6155, -112, 1629, Yawn
-2281, 264, 5605, 6312, -215, 1488, Yawn
-2606, 970, 5172, 5102, 636, 1533, Yawn
-2671, 617, 5241, 5428, 816, 1970, Yawn
-3200, 378, 5517, 5890, 559, 1857, Yawn
-2692, 120, 5386, 6336, -2, 1599, Yawn
-2817, -238, 5399, 6080, 38, 1398, Yawn
-2817, -238, 5399, 6080, 38, 1398, Yawn
-2817, -238, 5399, 6080, 38, 1398, Yawn
-2802, -247, 5563, 6235, 44, 1865, Yawn
-2910, -56, 5304, 5470, 364, 2024, Yawn
-3256, 56, 5305, 5381, 525, 2159, Yawn
-2747, 296, 5474, 6093, 201, 1620, Yawn
-2524, 114, 5635, 6072, 32, 1375, Yawn
-2702, 149, 5464, 6208, 152, 2018, Yawn
-2450, 707, 5566, 5922, 136, 1831, Yawn
-2668, 610, 5430, 6030, 443, 1756, Yawn
-2334, 164, 5525, 6663, -52, 1888, Yawn
-2403, 141, 5429, 6583, -78, 1397, Yawn
-2538, -307, 5768, 6805, -689, 1959, Yawn
-2438, -157, 5560, 6903, -904, 1792, Yawn
-2347, 116, 5626, 6133, -701, 1566, Yawn
-2519, -207, 5591, 6597, -750, 1367, Yawn
-1803, 172, 5641, 7310, -791, 1766, Yawn
-2025, -299, 5840, 7429, -887, 1734, Yawn
-2105, -90, 5691, 6703, -735, 2266, Yawn
-1923, 119, 5546, 5913, -425, 2684, Yawn
-1921, 297, 5117, 5345, 201, 2295, Yawn
-1921, 297, 5117, 5345, 201, 2295, Yawn
-1598, 1483, 4769, 5068, 2711, 1798, Yawn
