@relation staticFaceGestures

@attribute BrowLower real 
@attribute BrowRaiser real 
@attribute JawLower real 
@attribute LipCornerDepressor real 
@attribute LipRaiser real 
@attribute LipStretcher real 
@attribute gesture {Neutral, Yawn, Sad, Happy, ReiseEyeBrows} 

@data 
-1476, -14, 661, 732, 229, 3742, Happy
-1476, -14, 661, 732, 229, 3742, Happy
-1677, 36, 556, 787, 522, 3030, Happy
-1267, 7, 826, 1173, 277, 3262, Happy
-1139, -117, 945, 1237, 177, 3528, Happy
-1131, -27, 859, 1422, 164, 3480, Happy
-1383, 614, 344, -133, 1042, 3083, Happy
-1328, 852, 377, -48, 944, 2731, Happy
-1746, 644, 361, 319, 672, 3212, Happy
-1987, 376, 204, 193, 492, 3085, Happy
-1815, 796, 247, 413, 351, 3311, Happy
-1815, 796, 247, 413, 351, 3311, Happy
-1815, 796, 247, 413, 351, 3311, Happy
-1815, 796, 247, 413, 351, 3311, Happy
-1289, 829, 320, 210, 1126, 2725, Happy
-1289, 829, 320, 210, 1126, 2725, Happy
-1932, 634, 154, 269, 890, 2723, Happy
-1500, 955, 130, 646, 489, 2928, Happy
-1358, 269, 503, 1207, 256, 2735, Happy
-1829, 238, 400, 1021, 240, 2685, Happy
-1352, 747, 434, 932, 113, 3131, Happy
-1784, 691, 444, 367, 247, 2875, Happy
-1674, 732, 547, 1079, 236, 3536, Happy
-1674, 732, 547, 1079, 236, 3536, Happy
-2693, 2199, 1269, 1563, -2444, -200, ReiseEyeBrows
-2626, 2407, 1171, 1193, -1771, 319, ReiseEyeBrows
-2392, 2775, 1202, 999, -1607, 27, ReiseEyeBrows
-2501, 3036, 1146, 1060, -1481, 82, ReiseEyeBrows
-2353, 3387, 1104, 1234, -1475, -350, ReiseEyeBrows
-2603, 2708, 1238, 940, -1479, -338, ReiseEyeBrows
-2624, 2832, 1330, 1097, -1281, 141, ReiseEyeBrows
-2653, 2925, 1236, 804, -1084, 452, ReiseEyeBrows
-2675, 2661, 1284, 971, -1116, 177, ReiseEyeBrows
-2675, 2661, 1284, 971, -1116, 177, ReiseEyeBrows
-2256, 2597, 1118, 953, -698, -325, ReiseEyeBrows
-2820, 2247, 1170, 906, -926, -338, ReiseEyeBrows
-2674, 2351, 903, 1020, -822, -1210, ReiseEyeBrows
-2844, 3099, 839, -59, -243, -637, ReiseEyeBrows
-2710, 3006, 999, 357, -357, -610, ReiseEyeBrows
-2710, 3006, 999, 357, -357, -610, ReiseEyeBrows
-2560, 2966, 954, 620, -454, -795, ReiseEyeBrows
-2560, 2966, 954, 620, -454, -795, ReiseEyeBrows
-2560, 2966, 954, 620, -454, -795, ReiseEyeBrows
-2722, 2054, 1052, 910, -695, -846, ReiseEyeBrows
-2674, 2270, 858, 1393, -971, -602, ReiseEyeBrows
-2488, 2029, 905, 1884, -1200, -542, ReiseEyeBrows
-2716, 2286, 973, 930, -1261, -501, ReiseEyeBrows
-2768, 2207, 1147, 769, -962, -240, ReiseEyeBrows
-2655, 2162, 1130, 1025, -1277, -282, ReiseEyeBrows
-2757, 2459, 902, 839, -1256, 26, ReiseEyeBrows
-2757, 2459, 902, 839, -1256, 26, ReiseEyeBrows
-2757, 2459, 902, 839, -1256, 26, ReiseEyeBrows
-2409, 1822, 1219, 1629, -1661, -354, ReiseEyeBrows
-2409, 1822, 1219, 1629, -1661, -354, ReiseEyeBrows
-2409, 1822, 1219, 1629, -1661, -354, ReiseEyeBrows
-2230, 2010, 1199, 2001, -1827, -678, ReiseEyeBrows
-2230, 2010, 1199, 2001, -1827, -678, ReiseEyeBrows
-2165, 1304, 1712, 2143, -3143, 116, ReiseEyeBrows
-1715, 1051, 1925, 2822, -3572, 185, ReiseEyeBrows
-1498, 1934, 1798, 2625, -3623, -249, ReiseEyeBrows
-1838, 1326, 1791, 2991, -3573, -100, ReiseEyeBrows
-1838, 1326, 1791, 2991, -3573, -100, ReiseEyeBrows
-1736, 1123, 1611, 2954, -3838, -297, ReiseEyeBrows
-1904, 796, 1571, 2863, -3840, -548, ReiseEyeBrows
-1914, 925, 1675, 2979, -3739, -105, ReiseEyeBrows
-1514, 810, 1668, 3198, -3899, 78, ReiseEyeBrows
-1640, 406, 1761, 3069, -3922, 155, ReiseEyeBrows
-1872, 552, 1653, 3213, -4034, -18, ReiseEyeBrows
-1833, 1137, 1592, 2679, -3757, -372, ReiseEyeBrows
-1911, 607, 1693, 2737, -3685, -192, ReiseEyeBrows
-1832, 688, 1691, 2741, -3864, -619, ReiseEyeBrows
-1843, 802, 1724, 2762, -3866, -155, ReiseEyeBrows
-1869, 747, 1750, 3097, -3843, -372, ReiseEyeBrows
-1318, 1009, 1742, 2709, -3955, 581, ReiseEyeBrows
-1388, 1168, 1789, 2295, -3934, 508, ReiseEyeBrows
-1768, 1246, 1491, 2106, -3904, 166, ReiseEyeBrows
-1469, 1014, 1661, 2774, -3788, -68, ReiseEyeBrows
-1709, 1588, 1649, 2570, -4037, -764, ReiseEyeBrows
-1739, 2488, 1519, 1588, -3574, -591, ReiseEyeBrows
-1794, 2068, 1575, 1310, -3418, -514, ReiseEyeBrows
-1495, 1859, 1743, 2015, -3903, -346, ReiseEyeBrows
-1522, 2010, 1761, 1674, -3627, 590, ReiseEyeBrows
-1522, 2010, 1761, 1674, -3627, 590, ReiseEyeBrows
-1522, 2010, 1761, 1674, -3627, 590, ReiseEyeBrows
-1479, 1412, 1765, 1909, -3509, -156, ReiseEyeBrows
-1479, 1412, 1765, 1909, -3509, -156, ReiseEyeBrows
-1470, 1201, 1950, 2217, -3239, -127, ReiseEyeBrows
-1576, 874, 1984, 2664, -3259, 200, ReiseEyeBrows
-1621, 1069, 1916, 2278, -2859, 44, ReiseEyeBrows
-1990, 1880, 1642, 1108, -2382, -129, ReiseEyeBrows
-1551, 751, 1795, 2660, -2443, 266, ReiseEyeBrows
-1697, 648, 1823, 2013, -2360, 208, ReiseEyeBrows
-2304, 615, 1537, 901, -2320, -11, ReiseEyeBrows
-2304, 615, 1537, 901, -2320, -11, ReiseEyeBrows
-2075, 196, 1585, 1402, -2398, -201, ReiseEyeBrows
-1964, 687, 1619, 1254, -2329, -430, ReiseEyeBrows
-2011, 482, 1455, 1398, -2227, 27, ReiseEyeBrows
-2129, 490, 1446, 1338, -2278, -347, ReiseEyeBrows
-2129, 490, 1446, 1338, -2278, -347, ReiseEyeBrows
-1910, 284, 1526, 2220, -2839, 249, ReiseEyeBrows
-1910, 284, 1526, 2220, -2839, 249, ReiseEyeBrows
-1594, 500, 1568, 1862, -2783, 6, ReiseEyeBrows
-1594, 500, 1568, 1862, -2783, 6, ReiseEyeBrows
-1518, 265, 1835, 2055, -2575, 319, ReiseEyeBrows
-1518, 265, 1835, 2055, -2575, 319, ReiseEyeBrows
-1518, 265, 1835, 2055, -2575, 319, ReiseEyeBrows
-1518, 265, 1835, 2055, -2575, 319, ReiseEyeBrows
-1271, 454, 1550, 2303, -2284, 81, ReiseEyeBrows
-1271, 454, 1550, 2303, -2284, 81, ReiseEyeBrows
-1271, 454, 1550, 2303, -2284, 81, ReiseEyeBrows
-1271, 454, 1550, 2303, -2284, 81, ReiseEyeBrows
-1518, 362, 1532, 2003, -1907, 147, ReiseEyeBrows
-1418, 388, 1638, 2199, -1862, 757, ReiseEyeBrows
-1367, 384, 1542, 2707, -1910, 753, ReiseEyeBrows
-1863, 931, 1182, 1628, -1359, 349, ReiseEyeBrows
-1842, 589, 1155, 1571, -1022, 220, ReiseEyeBrows
-1873, 935, 1101, 1232, -1116, 59, ReiseEyeBrows
-1873, 935, 1101, 1232, -1116, 59, ReiseEyeBrows
-1825, 741, 1244, 1352, -1331, -68, ReiseEyeBrows
-1844, 674, 1366, 1348, -1136, 197, ReiseEyeBrows
-1770, 334, 1412, 1740, -1127, 8, ReiseEyeBrows
-1932, -135, 1429, 2044, -1333, 35, ReiseEyeBrows
-1729, 320, 1452, 2048, -1281, 25, ReiseEyeBrows
-2420, 679, 880, 1167, -119, -45, ReiseEyeBrows
-2081, 932, 950, 1439, -157, 50, ReiseEyeBrows
-2086, 1119, 947, 1251, -264, 572, ReiseEyeBrows
-2335, 686, 1014, 1175, -396, 21, ReiseEyeBrows
-2464, 974, 726, 840, -265, -78, ReiseEyeBrows
-2285, 677, 939, 1126, -487, 45, ReiseEyeBrows
-2019, 442, 969, 1754, -611, -15, ReiseEyeBrows
-2222, 630, 1234, 1137, -542, 918, ReiseEyeBrows
-2222, 630, 1234, 1137, -542, 918, ReiseEyeBrows
-2120, 552, 1253, 1427, -639, 497, ReiseEyeBrows
-1887, 485, 1273, 1433, -920, 376, ReiseEyeBrows
-1887, 485, 1273, 1433, -920, 376, ReiseEyeBrows
-1887, 485, 1273, 1433, -920, 376, ReiseEyeBrows
-1613, 1307, 1187, 1715, -793, 562, ReiseEyeBrows
-1613, 1307, 1187, 1715, -793, 562, ReiseEyeBrows
-1886, 813, 1175, 1758, -780, 12, ReiseEyeBrows
-2316, 1435, 688, 570, -186, -826, ReiseEyeBrows
-2448, 989, 891, 1131, -245, -21, ReiseEyeBrows
-2448, 989, 891, 1131, -245, -21, ReiseEyeBrows
-2448, 989, 891, 1131, -245, -21, ReiseEyeBrows
-2448, 989, 891, 1131, -245, -21, ReiseEyeBrows
-1646, 687, 916, 1564, -354, -220, ReiseEyeBrows
-1621, 282, 1097, 2348, -548, 119, ReiseEyeBrows
-1653, 44, 1439, 2304, -1172, 160, ReiseEyeBrows
-1745, -93, 1537, 2397, -1268, 229, ReiseEyeBrows
-1585, -495, 1581, 2497, -1422, 273, ReiseEyeBrows
-1494, -146, 1620, 2316, -1546, 328, ReiseEyeBrows
-1483, 2, 1612, 1637, -1460, 177, ReiseEyeBrows
-1561, -666, 1492, 2090, -1447, 101, ReiseEyeBrows
-1561, -666, 1492, 2090, -1447, 101, ReiseEyeBrows
-1561, -666, 1492, 2090, -1447, 101, ReiseEyeBrows
-1938, -649, 1401, 1811, -1245, -105, ReiseEyeBrows
-1605, -196, 1524, 1506, -972, -195, ReiseEyeBrows
