@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {Left_Hand_Up, Left_Hand_To_The_Left, Left_Hand_To_The_Right, Right_Hand_Up, Right_Hand_To_The_Left, Right_Hand_To_The_Right, Both_Hands_Up, Both_Hands_Down} 

@data 
-6566, -14992, -6573, -6774, -12829, -4776, -6717, -7689, -893, 7400, -7660, -2934, 7287, -13070, -6794, 7703, -14989, -8764, Both_Hands_Down
-6571, -15014, -6587, -6794, -12843, -4795, -6719, -7705, -896, 7419, -7698, -2963, 7293, -13075, -6807, 7712, -15011, -8776, Both_Hands_Down
-6596, -15036, -6618, -6824, -12863, -4820, -6738, -7720, -907, 7411, -7705, -2977, 7291, -13091, -6836, 7708, -15030, -8803, Both_Hands_Down
-6606, -15039, -6637, -6833, -12866, -4836, -6738, -7722, -917, 7405, -7706, -2988, 7283, -13076, -6847, 7703, -15024, -8815, Both_Hands_Down
-6605, -15023, -6653, -6830, -12853, -4848, -6742, -7714, -923, 7394, -7696, -3001, 7276, -13053, -6859, 7677, -15004, -8828, Both_Hands_Down
-6601, -14988, -6659, -6823, -12827, -4846, -6741, -7690, -926, 7384, -7693, -3014, 7260, -13023, -6867, 7657, -14968, -8826, Both_Hands_Down
-6596, -14995, -6659, -6803, -12833, -4841, -6744, -7685, -934, 7404, -7692, -3020, 7269, -13019, -6879, 7694, -14954, -8814, Both_Hands_Down
-6603, -14966, -6677, -6794, -12816, -4846, -6748, -7668, -946, 7392, -7665, -3016, 7269, -13024, -6909, 7682, -14928, -8818, Both_Hands_Down
-6604, -14961, -6685, -6781, -12813, -4848, -6756, -7657, -960, 7389, -7646, -3015, 7261, -13003, -6912, 7681, -14909, -8826, Both_Hands_Down
-6607, -14935, -6699, -6773, -12795, -4855, -6752, -7646, -969, 7368, -7627, -3020, 7241, -12971, -6917, 7664, -14872, -8816, Both_Hands_Down
-6611, -14899, -6702, -6755, -12771, -4847, -6739, -7627, -969, 7348, -7634, -3030, 7218, -12935, -6910, 7654, -14832, -8788, Both_Hands_Down
-6616, -14902, -6680, -6746, -12770, -4826, -6723, -7618, -954, 7346, -7634, -3027, 7220, -12911, -6895, 7651, -14823, -8792, Both_Hands_Down
-6625, -14897, -6680, -6742, -12760, -4829, -6718, -7609, -956, 7344, -7648, -3029, 7221, -12885, -6881, 7643, -14801, -8780, Both_Hands_Down
-6624, -14917, -6683, -6748, -12771, -4837, -6723, -7616, -957, 7340, -7636, -3016, 7240, -12888, -6864, 7671, -14809, -8778, Both_Hands_Down
-6607, -14927, -6680, -6765, -12765, -4849, -6726, -7613, -955, 7344, -7631, -3013, 7251, -12885, -6857, 7665, -14815, -8804, Both_Hands_Down
-6599, -14928, -6684, -6763, -12758, -4860, -6727, -7608, -956, 7343, -7637, -3025, 7268, -12893, -6870, 7669, -14811, -8814, Both_Hands_Down
-6590, -14966, -6695, -6755, -12790, -4869, -6708, -7636, -952, 7355, -7632, -3011, 7277, -12907, -6876, 7693, -14832, -8824, Both_Hands_Down
-6613, -14982, -6711, -6770, -12802, -4883, -6703, -7652, -948, 7351, -7620, -2997, 7281, -12938, -6892, 7702, -14844, -8836, Both_Hands_Down
-6607, -15002, -6712, -6779, -12813, -4889, -6699, -7663, -937, 7373, -7629, -3004, 7296, -12945, -6902, 7707, -14856, -8851, Both_Hands_Down
-6615, -15004, -6717, -6785, -12811, -4898, -6685, -7669, -934, 7380, -7655, -3031, 7304, -12949, -6922, 7736, -14845, -8836, Both_Hands_Down
-6634, -15002, -6730, -6793, -12814, -4904, -6681, -7671, -943, 7384, -7648, -3034, 7298, -12942, -6936, 7740, -14828, -8842, Both_Hands_Down
-6645, -14987, -6729, -6798, -12798, -4905, -6679, -7660, -948, 7375, -7622, -3030, 7288, -12927, -6947, 7733, -14806, -8845, Both_Hands_Down
-6659, -14965, -6736, -6801, -12782, -4910, -6684, -7652, -959, 7369, -7612, -3050, 7262, -12900, -6949, 7702, -14784, -8847, Both_Hands_Down
-6676, -14947, -6753, -6805, -12772, -4917, -6691, -7647, -964, 7362, -7624, -3072, 7247, -12903, -6966, 7680, -14778, -8852, Both_Hands_Down
-6701, -14943, -6754, -6835, -12770, -4916, -6698, -7646, -967, 7358, -7641, -3091, 7226, -12899, -6969, 7658, -14778, -8857, Both_Hands_Down
-6724, -14931, -6745, -6843, -12759, -4911, -6703, -7641, -967, 7335, -7648, -3096, 7198, -12889, -6967, 7621, -14766, -8848, Both_Hands_Down
-6727, -14817, -6749, -6687, -13296, -5300, -6711, -7635, -963, 7321, -7655, -3101, 7179, -12884, -6965, 7588, -14764, -8841, Both_Hands_Down
-6735, -14910, -6740, -6787, -12770, -4867, -6715, -7632, -955, 7314, -7670, -3105, 7153, -12922, -6974, 7561, -14767, -8835, Both_Hands_Down
-6731, -14917, -6711, -6808, -12767, -4852, -6720, -7624, -948, 7302, -7668, -3102, 7143, -12918, -6968, 7545, -14764, -8819, Both_Hands_Down
-6747, -14941, -6690, -6824, -12776, -4846, -6728, -7628, -943, 7307, -7678, -3100, 7144, -12923, -6961, 7538, -14771, -8806, Both_Hands_Down
-6762, -14940, -6686, -6829, -12772, -4844, -6733, -7625, -940, 7305, -7682, -3101, 7136, -12919, -6950, 7538, -14772, -8778, Both_Hands_Down
-6772, -14938, -6687, -6835, -12769, -4847, -6729, -7625, -940, 7304, -7684, -3102, 7137, -12963, -6952, 7548, -14772, -8758, Both_Hands_Down
-7095, -15699, -6536, -6933, -13512, -4535, -6968, -7969, -548, 7466, -8309, -3244, 7327, -13893, -7165, 7502, -15623, -8847, Both_Hands_Down
-7084, -15727, -6541, -6956, -13524, -4550, -6966, -7978, -555, 7463, -8313, -3253, 7313, -13901, -7178, 7491, -15634, -8864, Both_Hands_Down
-7078, -15733, -6544, -6975, -13523, -4557, -6962, -7974, -560, 7462, -8308, -3257, 7303, -13898, -7183, 7482, -15630, -8871, Both_Hands_Down
-7099, -15748, -6563, -7010, -13536, -4572, -6988, -7983, -566, 7456, -8314, -3265, 7288, -13913, -7192, 7468, -15641, -8883, Both_Hands_Down
-7128, -15760, -6581, -7052, -13547, -4582, -7023, -7985, -571, 7441, -8319, -3269, 7272, -13928, -7201, 7455, -15654, -8891, Both_Hands_Down
