@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {@Left_Hand_Up, @Left_Hand_To_The_Left, @Left_Hand_To_The_Right, @Right_Hand_Up, @Right_Hand_To_The_Left, @Right_Hand_To_The_Right, @Both_Hands_Up, @Both_Hands_Down} 

@data 
-6282, 3580, -18673, -7040, 2415, -17161, -7734, 476, -10785, 3910, -8000, -356, 1863, -14367, -3493, 580, -16537, -4969, 
-6279, 3589, -18684, -7035, 2426, -17165, -7733, 480, -10789, 3921, -7986, -352, 1862, -14379, -3507, 580, -16551, -4977, 
-6267, 3598, -18702, -7029, 2430, -17173, -7731, 479, -10795, 3929, -7987, -353, 1909, -14391, -3499, 591, -16547, -4971, 
-6266, 3615, -18735, -7036, 2439, -17195, -7728, 485, -10809, 3942, -7983, -352, 1963, -14411, -3490, 603, -16543, -4964, 
-6253, 3617, -18714, -7018, 2442, -17174, -7712, 490, -10799, 3932, -7960, -355, 1941, -14391, -3502, 710, -16380, -4889, 
-6243, 3620, -18706, -7004, 2449, -17168, -7705, 493, -10798, 3938, -7948, -355, 1975, -14377, -3484, 636, -16456, -4942, 
-6232, 3621, -18707, -6996, 2451, -17173, -7683, 490, -10805, 3942, -7926, -351, 1926, -14402, -3536, 607, -16484, -4964, 
-6224, 3610, -18697, -6992, 2439, -17164, -7681, 478, -10801, 3941, -7925, -358, 1998, -14393, -3503, 598, -16493, -4971, 
-6226, 3614, -18706, -6995, 2442, -17168, -7682, 467, -10806, 3941, -7926, -359, 1982, -14400, -3514, 593, -16511, -4980, 
-6221, 3619, -18706, -6993, 2447, -17169, -7676, 463, -10809, 3948, -7916, -360, 2000, -14398, -3508, 601, -16502, -4976, 
-6221, 3615, -18696, -6989, 2447, -17169, -7677, 455, -10811, 3940, -7909, -362, 2007, -14390, -3501, 602, -16488, -4970, 
-6228, 3600, -18679, -6990, 2447, -17180, -7695, 450, -10817, 3938, -7912, -361, 2016, -14402, -3503, 597, -16492, -4972, 
-6247, 3617, -18710, -7015, 2448, -17200, -7717, 454, -10823, 3924, -7904, -350, 1966, -14402, -3520, 575, -16529, -4977, 
-6241, 3619, -18687, -7006, 2453, -17182, -7712, 462, -10811, 3916, -7878, -355, 1966, -14375, -3510, 570, -16496, -4964, 
-6232, 3610, -18668, -6999, 2449, -17184, -7693, 462, -10813, 3920, -7744, -318, 1969, -14388, -3521, 792, -16534, -4958, 
-6233, 3623, -18681, -7004, 2463, -17211, -7685, 475, -10828, 3928, -7746, -325, 1991, -14397, -3515, 708, -16570, -4994, 
-6235, 3638, -18677, -7005, 2488, -17245, -7699, 481, -10851, 3937, -7706, -323, 3143, -13626, -2918, 1773, -15850, -4240, 
-6249, 3651, -18713, -7024, 2500, -17280, -7721, 482, -10871, 3944, -7735, -330, 3166, -13678, -2917, 1781, -15899, -4241, 
-6247, 3654, -18696, -7004, 2522, -17310, -7676, 507, -10891, 3934, -7748, -335, 1995, -14360, -3540, 609, -16522, -4954, 
-6259, 3673, -18702, -7015, 2547, -17344, -7688, 515, -10911, 3932, -7763, -337, 1998, -14383, -3527, 592, -16533, -4949, 
